-0.0558026,-0.0598219,0000000001|0-0.109864,-0.0522016,0000000001|-0.0621557,-0.0626537,0001.11857|0
-0.544779,00.020923,000000001|-0.597033,0.0301759,000000001|-0.628588,0.0294958,001.15445|0
0.0605072,-0.107319,000000001|00.0155663,-0.0993511,0000000001|0.0815647,-0.138727,001.34249|0
-0.0201976,000.106418,0000000001|-0.140044,00.113736,000000001|-0.0101601,00.0558624,000.507484|0
-0.0914077,000.120667,0000000001|-0.154427,0.0757522,000000001|-0.0616193,00.0736074,000.749336|0
-0.373874,0.0399218,000000001|-0.471473,00.047577,000000001|-0.232562,0.0272286,00.622373|0
00.0225285,-0.0621967,0000000001|-0.0240849,-0.0441685,0000000001|000.029538,-0.0658455,0001.23804|0
-0.549526,0.0969183,000000001|-0.601138,00.159062,000000001|-0.372448,0.0896438,00.700127|0
-0.411853,00.215661,000000001|-0.432757,00.205013,000000001|0-1.1747,0.600271,002.8538|0
00.117475,0.0969183,000000001|0.00333143,000.105878,0000000001|00.062627,0.0539309,000.53187|0
000.2955,0.106418,00000001|0.241407,0.114519,00000001|0.330383,0.123401,01.11706|0
-0.587505,00.324904,000000001|-0.764216,00.341438,000000001|-0.201087,00.114163,00.342652|0
00.0771229,-0.0360734,0000000001|00.0237461,-0.0282406,0000000001|00.0876029,-0.0364086,00001.1322|0
0000.24328,-0.0336985,0000000001|000.188331,-0.0239417,0000000001|000.266794,-0.0315562,0001.09492|0
-0.305038,00.144415,000000001|-0.409461,00.152318,000000001|-0.177333,0.0863137,00.581756|0
-0.442711,00.301155,000000001|-0.448309,00.222131,000000001|-0.0491832,00.0468135,000.178757|0
00.176817,-0.104944,000000001|00.122323,-0.096294,000000001|0.196096,0-0.1114,01.10714|0
-0.188728,0.0280476,000000001|-0.280473,0.0356229,000000001|0-0.12476,0.0210687,00.661803|0
-0.428469,0.0494212,000000001|-0.499514,0.0578914,000000001|-0.364916,0.0457262,00.852199|0
0.186312,0.139666,00000001|0.125864,0.145921,00000001|0.187199,0.143352,01.00391|0
0.0605072,00.203787,000000001|-0.0629862,000.210034,0000000001|0.0298891,00.101996,00.492947|0
00.157828,0.0304224,000000001|00.101615,0.0376455,000000001|0.170215,0.036656,01.07703|0
-0.326401,00.191912,000000001|-0.0348517,000.440345,0000000001|00.0526879,-0.0388124,0-0.122727|0
0.262269,0.037547,00000001|000.20819,0.0450578,000000001|00.293655,0.0462056,001.11871|0
0-0.592252,-0.0313237,0000000001|000-0.739028,-0.000820239,000000000001|00-0.236793,-0.00645384,0000.401547|0
0-0.335896,-0.0218243,0000000001|0-0.378874,-0.0115919,0000000001|-0.468056,-0.023308,001.39499|0
0-0.136507,-0.0550722,0000000001|00-0.17594,-0.0473841,0000000001|00-0.20853,-0.0783817,0001.53004|0
-0.138881,00.158664,000000001|-0.213644,00.165232,000000001|-0.112665,00.131539,00.812225|0
-0.0510553,0-0.121568,0000000001|-0.105752,-0.113109,000000001|-0.0560217,0-0.129488,0001.10354|0
0-0.0866603,-0.00520032,00000000001|0-0.134818,0.00357035,0000000001|00-0.108007,-0.00101934,00001.25073|0
-0.0866603,000.189537,0000000001|-0.19258,0.195578,00000001|-0.0497151,000.110629,000.574523|0
00.589836,-0.199938,000000001|000.49855,-0.186395,000000001|00.389192,-0.127321,00.659117|0
0-0.262312,-0.0146997,0000000001|00-0.304026,-0.00743015,00000000001|0-0.379817,-0.0160333,0001.44901|0
0.26939,0.15154,0000001|0.204883,0.157755,00000001|0.253689,0.145552,0.941179|0
00.174443,-0.026574,000000001|000.117902,-0.0177628,0000000001|000.186459,-0.0236526,0001.06694|0
0-0.511547,-0.0883201,0000000001|-0.558654,-0.080611,000000001|-0.656627,-0.108463,0001.2841|0
0.352469,0.132541,00000001|0.285808,0.138453,00000001|0.321358,00.12349,00.91138|0
-0.0130766,00.0494212,0000000001|-0.0675093,000.057396,0000000001|-0.0142275,000.059287,0001.11005|0
-0.312159,0.0280476,000000001|-0.398174,0.0349932,000000001|-0.220328,0.0222605,00.706224|0
0-0.231454,-0.0550722,0000000001|0-0.271819,-0.0474842,0000000001|0-0.345893,-0.0767008,0001.49576|0
0.0249021,0.0114236,000000001|-0.0237929,00.0188386,0000000001|0.0311888,0.0187843,001.24142|0
-0.440337,00.389025,000000001|-0.479192,00.179143,000000001|0.00444317,00.0161172,000.056683|0
-0.620736,00.512517,000000001|-0.612246,00.438492,000000001|00.677641,-0.499127,0-1.04886|0
00-0.0391869,-0.000450618,000000000001|-0.0934464,0.00732352,0000000001|-0.0433836,0.00382857,00001.1141|0
-0.516295,-0.173815,000000001|-0.562384,-0.166577,000000001|-0.678059,-0.223595,001.31374|0
-0.214839,00.367651,000000001|-0.36494,0.375484,00000001|-0.0870415,0000.15066,0000.40547|0
-0.504426,00.180038,000000001|-0.559157,00.237165,000000001|-0.35819,0.152472,0.730689|0
0-0.537658,-0.0431979,0000000001|0-0.615325,-0.0336798,0000000001|0-0.418556,-0.0299418,000.778941|0
0.319237,0.175288,00000001|0.250818,00.18091,00000001|00.28371,0.158218,0.888369|0
-0.00595557,0000.187163,00000000001|-0.128134,00.193778,000000001|-0.00289559,000.0948748,0000.498107|0
00.288379,-0.432673,000000001|00.225701,-0.417832,000000001|00.274304,-0.403353,000.94848|0
0.0557598,0.0897937,000000001|-0.0688659,000.114033,0000000001|0.0273886,0.0484014,00.474914|0
0.0249021,00-0.4018,000000001|-0.0239243,0-0.390443,0000000001|0.0310996,-0.485409,001.22538|0
-0.473569,00.111167,000000001|-0.52491,0.120151,00000001|-0.556186,00.135918,001.17515|0
000.24328,0.0826692,000000001|000.18497,0.0893786,000000001|00.253132,0.0894416,001.03972|0
-0.483063,00.355777,000000001|-0.539316,00.247004,000000001|00-0.1224,0.0901597,00.298943|0
-0.122265,0.0494212,000000001|0-0.20274,0.0731551,000000001|-0.0861698,00.0440028,0000.71793|0
0.316864,0.265533,00000001|0.248121,0.264784,00000001|0.281159,0.235278,0.887313|1
-0.592252,0.0494212,000000001|-0.693135,0.0603959,000000001|-0.355086,0.0329426,00.599949|0
0.596957,0.462645,00000001|0.504824,0.460126,00000001|0.395075,0.305342,0.661793|0
0-0.456953,-0.0218243,0000000001|0-0.505122,-0.0136984,0000000001|0-0.572905,-0.0222796,0001.25437|0
-0.594626,-0.100194,000000001|0-0.733329,-0.0856179,0000000001|0-0.258996,-0.0405073,000.435999|0
0-0.316906,-0.0859452,0000000001|0-0.358904,-0.0785446,0000000001|-0.455802,-0.118364,001.43915|0
0.0723755,0.0327973,000000001|0.0190842,0.0399239,000000001|00.082442,0.0412998,001.13583|0
0.383326,0.184788,00000001|0.312056,0.190014,00000001|0.327223,00.15993,0.853407|0
00.373832,-0.596538,000000001|00.296944,-0.572817,000000001|00.283722,-0.441436,00.754974|0
0.134091,0.239409,00000001|0.013322,0.244318,00000001|0.0676807,00.122006,00.504441|0
000.293127,-0.0526973,0000000001|000.239527,-0.0465466,0000000001|000.331932,-0.0561627,00001.1318|0
0.229038,0.180038,00000001|0.163683,0.185858,00000001|0.213026,0.170059,0.929544|0
-0.117518,00.434147,000000001|-0.244633,00.440766,000000001|-0.0562111,000.209484,000.478867|0
0000.119849,-0.00757517,00000000001|00.0645857,0.00011135,0000000001|0000.13141,-0.0040837,0001.09426|0
00.174443,0.0826692,000000001|00.11347,0.089707,00000001|00.173577,0.0856611,000.99388|0
0.0225285,00.132541,000000001|-0.099062,00.139127,000000001|0.011347,0.067987,0.500514|0
-0.053429,00.246534,000000001|-0.174637,00.252701,000000001|-0.0267723,000.125369,000.502242|0
-0.362006,-0.363803,000000001|-0.410616,-0.356023,000000001|-0.450191,-0.447844,0001.2443|0
-0.0510553,0000.14679,0000000001|-0.182408,00.149269,000000001|-0.0236942,00.0687248,000.464263|1
0.231411,00.46027,00000001|0.134008,00.46527,00000001|0.144722,0.289302,0.625153|0
0.191059,0.315405,00000001|0.0841444,00.317369,000000001|0.108989,0.180469,0.570407|1
-0.594626,-0.164315,000000001|-0.655618,-0.157168,000000001|-0.591169,-0.159854,00.994471|0
0.0272758,00.422273,000000001|-0.100303,00.428214,000000001|0.0130713,00.202977,000.47732|0
-0.64922,0.180038,00000001|-0.662326,00.199051,000000001|-2.84218,00.83032,04.38034|0
-0.155497,00.101668,000000001|-0.242151,00.115101,000000001|-0.107271,00.075103,00.692921|0
0.0272758,00.241784,000000001|-0.0958389,0000.24777,0000000001|0.0135463,00.121053,00.494545|0
00.174443,-0.152441,000000001|0.119389,-0.14326,00000001|000.19131,-0.161833,001.09456|0
-0.231454,-0.375677,000000001|-0.279067,0-0.36698,000000001|-0.292888,-0.470434,001.26688|0
